epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,10657.1,0.69959,0.42466,1.02938,0.01158,0.97531,0.96671,0.98672,0.84135,0.50211,0.30297,0.92873,0.00175,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,10793.8,0.69744,0.41958,1.02431,0.01168,0.97433,0.96796,0.98685,0.84166,0.50168,0.3021,0.9283,0.00167,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,10930.5,0.69268,0.42063,1.02516,0.01097,0.97614,0.96804,0.98731,0.84233,0.50131,0.30051,0.92728,0.00181,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,11067.9,0.69107,0.42105,1.02652,0.01128,0.97598,0.96804,0.9872,0.84233,0.50069,0.2998,0.92765,0.00155,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,11203.4,0.6924,0.4201,1.02425,0.01105,0.97616,0.96855,0.98726,0.84196,0.50122,0.29957,0.92775,0.0017,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,11339.4,0.69372,0.41736,1.02477,0.01131,0.97576,0.9689,0.98718,0.84174,0.50064,0.29873,0.92703,0.00178,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,11475.8,0.6816,0.41341,1.02232,0.01034,0.97484,0.9702,0.98745,0.8418,0.50082,0.29836,0.92673,0.00167,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,11614.1,0.68258,0.41227,1.02058,0.01019,0.97474,0.97056,0.9873,0.84186,0.50091,0.29882,0.92688,0.00176,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,11752.6,0.68563,0.41297,1.02234,0.01097,0.97463,0.9697,0.98719,0.84183,0.50104,0.29871,0.92725,0.0016,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,11890.4,0.68447,0.41177,1.02294,0.01082,0.9749,0.96937,0.98726,0.84203,0.50084,0.29889,0.92762,0.00176,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
